dataset_name,run_label,seed,budget,coverage_target,frontier_set_size_llm,coverage_llm,point_risk_llm,frontier_set_size_reference,coverage_reference,point_risk_reference,set_size_gap_llm_minus_reference,coverage_gap_llm_minus_reference,risk_gap_llm_minus_reference
ANES96 vote,minimax_anes_schema_budgetgrid,8,80,0.8,0.96,0.87,0.0999999999999999,1.0,0.91,0.0899999999999999,-0.040000000000000036,-0.040000000000000036,0.009999999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,8,80,0.9,0.96,0.87,0.0999999999999999,1.0,0.91,0.0899999999999999,-0.040000000000000036,-0.040000000000000036,0.009999999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,8,140,0.8,0.925,0.85,0.0999999999999999,0.825,0.8,0.0749999999999999,0.10000000000000009,0.04999999999999993,0.024999999999999994
ANES96 vote,minimax_anes_schema_budgetgrid,8,140,0.9,1.1578947368421053,0.9210526315789472,0.1052631578947368,0.95,0.875,0.0999999999999999,0.20789473684210535,0.046052631578947234,0.0052631578947369
ANES96 vote,minimax_anes_schema_budgetgrid,9,30,0.8,1.0604026845637584,0.9395973154362416,0.0604026845637584,1.08,0.9733333333333334,0.0533333333333333,-0.019597315436241658,-0.0337360178970918,0.007069351230425097
ANES96 vote,minimax_anes_schema_budgetgrid,9,40,0.8,0.8260869565217391,0.782608695652174,0.0652173913043477,1.05,0.9142857142857144,0.0999999999999999,-0.2239130434782609,-0.13167701863354042,-0.034782608695652195
ANES96 vote,minimax_anes_schema_budgetgrid,9,40,0.9,0.9424460431654677,0.8920863309352518,0.0503597122302158,1.2357142857142858,0.9642857142857144,0.0999999999999999,-0.2932682425488181,-0.07219938335046261,-0.049640287769784096
ANES96 vote,minimax_anes_schema_budgetgrid,9,60,0.8,0.9583333333333334,0.9083333333333332,0.0583333333333333,0.9583333333333334,0.9,0.0999999999999999,0.0,0.008333333333333193,-0.041666666666666595
ANES96 vote,minimax_anes_schema_budgetgrid,9,60,0.9,1.0,0.923728813559322,0.0762711864406779,1.0416666666666667,0.9416666666666668,0.0999999999999999,-0.04166666666666674,-0.017937853107344748,-0.023728813559321993
ANES96 vote,minimax_anes_schema_budgetgrid,9,80,0.8,0.9292929292929292,0.8686868686868687,0.0606060606060605,0.91,0.84,0.0899999999999999,0.01929292929292914,0.02868686868686876,-0.029393939393939403
ANES96 vote,minimax_anes_schema_budgetgrid,9,80,0.9,0.9393939393939394,0.8787878787878788,0.0606060606060605,0.98,0.89,0.0899999999999999,-0.040606060606060534,-0.011212121212121229,-0.029393939393939403
ANES96 vote,minimax_anes_schema_budgetgrid,9,100,0.8,0.9113924050632912,0.8354430379746836,0.0759493670886075,0.8,0.775,0.0749999999999999,0.11139240506329118,0.06044303797468353,0.0009493670886076
ANES96 vote,minimax_anes_schema_budgetgrid,9,100,0.9,1.0,0.9375,0.0625,0.925,0.875,0.0749999999999999,0.07499999999999996,0.0625,-0.0124999999999999
ANES96 vote,minimax_anes_schema_budgetgrid,9,120,0.8,0.8813559322033898,0.8305084745762712,0.0508474576271186,0.7833333333333333,0.7833333333333333,0.0333333333333333,0.09802259887005649,0.04717514124293787,0.0175141242937853
ANES96 vote,minimax_anes_schema_budgetgrid,9,120,0.9,0.95,0.9166666666666666,0.0333333333333333,0.9333333333333332,0.9166666666666666,0.0333333333333333,0.01666666666666672,0.0,0.0
ANES96 vote,minimax_anes_schema_budgetgrid,9,140,0.8,0.8157894736842105,0.7894736842105263,0.0263157894736841,0.875,0.875,0.0,-0.05921052631578949,-0.08552631578947367,0.0263157894736841
ANES96 vote,minimax_anes_schema_budgetgrid,9,140,0.9,0.975,0.975,0.0,0.95,0.95,0.0,0.025000000000000022,0.025000000000000022,0.0
ANES96 vote,minimax_anes_schema_budgetgrid,10,30,0.8,1.0,0.918918918918919,0.081081081081081,1.2666666666666666,0.9466666666666668,0.2133333333333333,-0.2666666666666666,-0.027747747747747797,-0.1322522522522523
ANES96 vote,minimax_anes_schema_budgetgrid,10,40,0.8,0.9280575539568344,0.8633093525179856,0.0647482014388489,0.8642857142857143,0.8357142857142857,0.0571428571428571,0.0637718396711201,0.02759506680369983,0.0076053442959918074
ANES96 vote,minimax_anes_schema_budgetgrid,10,40,0.9,1.4285714285714286,0.9785714285714284,0.0642857142857142,1.2857142857142858,0.9714285714285714,0.0571428571428571,0.1428571428571428,0.0071428571428570065,0.007142857142857097
