dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,80,10,10,1.0,1.032568954854669,0.035706932273847976,0.962583367597927,1.1025545421114111,0.9234817563388992,0.06749824778396202
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,100,10,10,1.0,1.1006645569620253,0.06199779897789582,0.9791488709653494,1.222180242958701,0.9384177215189873,0.06411392405063292
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,120,10,10,1.0,1.0310266900448082,0.033106234174335857,0.9661384710631099,1.0959149090265066,0.9175891291642314,0.0776115332164426
ANES96 vote,minimax_anes_schema_budgetgrid,llm_prompt_policy_frontier,0.9,140,10,10,1.0,1.0630229419703103,0.02964969278297396,1.0049095441156815,1.1211363398249392,0.9386201079622133,0.06677462887989197
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,30,10,10,1.0,1.1713333333333331,0.06687412166262933,1.0402600548745795,1.3024066117920867,0.944,0.10466666666666662
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,40,10,10,1.0,0.9371428571428572,0.02563922023994629,0.8868899854725625,0.9873957288131519,0.8521428571428572,0.10571428571428568
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,60,10,10,1.0,0.9033333333333335,0.02026826260772743,0.8636075386221878,0.9430591280444793,0.8558333333333333,0.07499999999999994
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,80,10,9,0.9,0.9022222222222221,0.028076175041096173,0.8471929191416736,0.9572515253027707,0.8588888888888889,0.06555555555555549
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,100,10,7,0.7,0.8285714285714284,0.01718991556927816,0.7948791940556432,0.8622636630872136,0.8053571428571429,0.055357142857142806
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,120,10,6,0.6,0.8527777777777779,0.0263230172010714,0.8011846640636779,0.9043708914918778,0.8333333333333334,0.05833333333333331
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.8,140,10,9,0.9,0.85,0.015023130314433288,0.8205546645837107,0.8794453354162892,0.8166666666666668,0.07222222222222216
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,40,10,10,1.0,1.137142857142857,0.07470880735021546,0.9907135947364347,1.2835721195492793,0.9414285714285715,0.06857142857142852
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,60,10,10,1.0,1.1733333333333333,0.07131697631778221,1.0335520597504801,1.3131146069161865,0.9508333333333333,0.08166666666666662
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,80,10,10,1.0,0.9800000000000001,0.02560381915956202,0.9298165144472585,1.0301834855527416,0.9109999999999999,0.06899999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,reference,0.9,100,10,8,0.8,1.0421875,0.047712020937749906,0.9486719389620102,1.13570306103799,0.9328125,0.05937499999999997
