run_label,method_family,coverage_target,n_cells,n_attained,mean_frontier_set_size,median_frontier_set_size,mean_coverage,mean_point_risk,attainment_rate
minimax_fertility_schema_budgetgrid,overall_frontier,0.9,40,40,1.074113997113997,1.0,0.9392647907647907,0.10727272727272723,1.0
minimax_fertility_schema_budgetgrid,reference,0.8,50,49,0.9132806196071502,0.8714285714285714,0.8590882586800954,0.08661822304679444,0.98
minimax_fertility_schema_budgetgrid,reference,0.9,40,36,1.0028539361872695,1.0,0.9387862754529421,0.06417027417027413,0.9
minimax_modechoice_schema_budgetgrid,llm_cached,0.8,60,60,1.8182521367521367,1.83875,0.9460074786324787,0.3024358974358974,1.0
minimax_modechoice_schema_budgetgrid,llm_cached,0.9,50,50,1.8577833333333333,1.8458333333333332,0.9523166666666667,0.2945833333333333,1.0
minimax_modechoice_schema_budgetgrid,llm_fixed_prompt_frontier,0.8,60,60,1.8182521367521367,1.83875,0.9460074786324787,0.3024358974358974,1.0
minimax_modechoice_schema_budgetgrid,llm_fixed_prompt_frontier,0.9,50,50,1.8577833333333333,1.8458333333333332,0.9523166666666667,0.2945833333333333,1.0
minimax_modechoice_schema_budgetgrid,llm_prompt_optimized,0.8,60,50,1.642525641025641,1.625,0.9209564102564103,0.2694628205128205,0.8333333333333334
minimax_modechoice_schema_budgetgrid,llm_prompt_optimized,0.9,50,48,1.7441840277777778,1.7,0.93984375,0.2707118055555555,0.96
minimax_modechoice_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,60,1.6592029914529915,1.637980769230769,0.924292735042735,0.30114423076923075,1.0
minimax_modechoice_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,50,1.7357666666666665,1.7,0.9367166666666666,0.2825,1.0
minimax_modechoice_schema_budgetgrid,overall_frontier,0.8,60,60,1.2292948717948717,1.1358974358974359,0.8462222222222222,0.23992200854700851,1.0
minimax_modechoice_schema_budgetgrid,overall_frontier,0.9,50,50,1.4157666666666666,1.4316666666666666,0.9185333333333334,0.2380833333333333,1.0
minimax_modechoice_schema_budgetgrid,reference,0.8,60,53,1.175314465408805,1.123076923076923,0.839204160619255,0.22762094823415574,0.8833333333333333
minimax_modechoice_schema_budgetgrid,reference,0.9,50,47,1.411808510638298,1.425,0.9221985815602837,0.23271276595744678,0.94
minimax_promptopt_common_budget,llm_cached,0.8,3,3,2.586691086691087,2.641025641025641,0.8772893772893773,0.6172161172161172,1.0
minimax_promptopt_common_budget,llm_cached,0.9,3,3,3.0,3.0,1.0,0.6031746031746031,1.0
minimax_promptopt_common_budget,llm_prompt_optimized,0.8,3,3,2.7955882352941175,2.735294117647059,0.9215686274509803,0.6691176470588235,1.0
minimax_promptopt_common_budget,llm_prompt_optimized,0.9,3,3,2.9916666666666667,3.0,1.0,0.6872549019607844,1.0
minimax_promptopt_common_budget,llm_prompt_policy_frontier,0.8,3,3,2.5783577533577535,2.641025641025641,0.8772893772893773,0.628968253968254,1.0
minimax_promptopt_common_budget,llm_prompt_policy_frontier,0.9,3,3,2.9916666666666667,3.0,1.0,0.6214285714285714,1.0
minimax_promptopt_main,llm_cached,0.8,3,3,2.7619047619047623,2.657142857142857,0.8857142857142858,0.6786967418546367,1.0
minimax_promptopt_main,llm_cached,0.9,3,3,3.0,3.0,1.0,0.6052631578947368,1.0
minimax_promptopt_main,llm_prompt_optimized,0.8,3,3,2.9814814814814814,3.0,0.9907407407407408,0.6574074074074074,1.0
minimax_promptopt_main,llm_prompt_optimized,0.9,3,3,2.9814814814814814,3.0,0.9907407407407408,0.6574074074074074,1.0
