run_label,experiment_id,dataset_id,task_id,seed,budget,coverage_target,method_family,frontier_status,frontier_method,frontier_set_size,coverage,point_risk,n_methods,n_valid_methods
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,3,80,0.95,reference,attained,calibrated_probability_conformal,2.55,0.9833333333333332,0.4666666666666667,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.591549295774648,0.8591549295774648,0.704225352112676,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.591549295774648,0.8591549295774648,0.704225352112676,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.8,overall_frontier,attained,calibrated_probability_conformal,2.01,0.82,0.5700000000000001,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.8,reference,attained,calibrated_probability_conformal,2.01,0.82,0.5700000000000001,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,2.975,1.0,0.725,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.975,1.0,0.725,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.9,overall_frontier,attained,gradient_boosting_probability_conformal,2.51,0.93,0.54,6,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,40,0.9,reference,attained,gradient_boosting_probability_conformal,2.51,0.93,0.54,4,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.8,llm_cached,attained,cached_llm_L1_uncertainty,2.548387096774193,0.8064516129032258,0.6451612903225806,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L1_uncertainty,2.548387096774193,0.8064516129032258,0.6451612903225806,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.8,overall_frontier,attained,calibrated_probability_conformal,2.183333333333333,0.95,0.4,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.8,reference,attained,calibrated_probability_conformal,2.183333333333333,0.95,0.4,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.9,llm_cached,attained,cached_llm_L0_zero_shot,2.95,1.0,0.825,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.95,1.0,0.825,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.9,overall_frontier,attained,calibrated_probability_conformal,2.433333333333333,0.9833333333333332,0.4,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.9,reference,attained,calibrated_probability_conformal,2.433333333333333,0.9833333333333332,0.4,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.95,llm_cached,attained,cached_llm_L0_zero_shot,2.95,1.0,0.825,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.95,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,2.95,1.0,0.825,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.95,overall_frontier,attained,calibrated_probability_conformal,2.7666666666666666,0.9833333333333332,0.4,6,6
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,4,80,0.95,reference,attained,calibrated_probability_conformal,2.7666666666666666,0.9833333333333332,0.4,4,4
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.8,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.8,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.8,overall_frontier,attained,gradient_boosting_probability_conformal,2.69,0.9,0.7,6,3
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.8,reference,attained,gradient_boosting_probability_conformal,2.69,0.9,0.7,4,1
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.9,llm_cached,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
minimax_real_reference_vs_fixed,E04,smoke_survey_fixture,fixture_classification,5,40,0.9,llm_fixed_prompt_frontier,attained,cached_llm_L0_zero_shot,3.0,1.0,0.675,2,2
